,LEAGUE,PLAYER_ID,POSITION,SEASON,AGE_SEPT_15,GP,G,A,TP,PPG,SEASON_NO,SEASON_>20GP,CUM_GP,ONLY_1_SEASON,MIN_3_SEASONS,DY_STATUS,SHOOTS,DRAFTED,NHL_PPG,NHL_GP,NHL_DV
2925,USHL,12040/brady-greco,D,2003,20.363889,57,9,20,29,0.508772,1,1,57,1,0,DY+2,R,Yes,0.0,0,0
2947,USHL,12050/derrick-mciver,F,2000,21.211111,57,17,29,46,0.807018,4,4,216,0,1,DY+3,R,No,0.0,0,0
2948,USHL,12052/tim-weber,D,2011,21.608333,54,5,9,14,0.259259,1,1,54,1,0,DY+3,L,No,0.0,0,0
2955,USHL,12061/richard-purslow,F,2007,21.125,60,27,55,82,1.366667,2,2,118,0,0,DY+3,L,No,0.0,0,0
2957,USHL,12062/jacob-cepis,F,2007,19.733333,58,34,38,72,1.241379,2,2,116,0,0,DY+1,L,No,0.0,0,0
3010,USHL,120644/christopher-wilkie,F,2015,19.180556,59,35,20,55,0.9322030000000001,3,3,154,0,1,DY+1,R,Yes,0.0,0,0
3018,USHL,120649/brian-williams,F,2016,20.686111,51,11,11,22,0.43137299999999995,3,3,168,0,1,DY+2,R,No,0.0,0,0
3067,USHL,120811/johnny-walker,F,2017,21.066667000000002,41,16,13,29,0.707317,2,1,44,0,0,DY+3,R,No,0.0,0,0
3074,USHL,120935/ryan-collins,D,2014,18.358333,26,0,2,2,0.076923,2,2,64,0,0,DY,R,Yes,0.0,0,0
3081,USHL,120948/ryan-tait,F,2015,19.288889,62,14,16,30,0.483871,3,3,177,0,1,DY+1,R,No,0.0,0,0
3092,USHL,120977/shane-mcmahan,F,2017,21.125,51,16,13,29,0.568627,3,3,154,0,1,DY+3,L,No,0.0,0,0
3288,USHL,12164/lyon-messier,D,2008,21.080556,46,5,12,17,0.36956500000000003,1,1,46,1,0,DY+3,L,No,0.0,0,0
3322,USHL,121748/max-birkinbine,F,2013,20.694444,39,4,14,18,0.461538,1,1,39,1,0,DY+2,-,No,0.0,0,0
3325,USHL,12176/blake-kessel,D,2008,19.422222,59,19,38,57,0.966102,2,2,118,0,0,DY+1,R,Yes,0.0,0,0
3327,USHL,12177/james-marcou,F,2007,19.572222,58,24,47,71,1.224138,2,2,109,0,0,DY+1,L,No,0.0,0,0
