LEAGUE,PLAYER_ID,POSITION,SEASON,AGE_SEPT_15,GP,G,A,TP,PPG,SEASON_NO,SEASON_>20GP,CUM_GP,ONLY_1_SEASON,MIN_3_SEASONS,DY_STATUS,SHOOTS,DRAFTED,NHL_PPG,NHL_GP,NHL_DV
WHL,108439/matt-fonteyne,F,2018,20.791667,72,35,53,88,1.222222,5,5,338,0,1,DY+2,L,No,0.0,0,0
WHL,108440/cole-chorney,F,2014,18.483333,58,6,5,11,0.189655,1,1,58,1,0,DY,R,No,0.0,0,0
WHL,108471/andrew-koep,F,2016,19.525,71,11,11,22,0.309859,2,2,129,0,0,DY+1,L,No,0.0,0,0
WHL,108472/kale-clague,D,2018,20.277778,54,11,60,71,1.314815,4,4,193,0,1,DY+2,L,Yes,0.0,0,0
WHL,10876/steven-regier,F,2004,20.041667,72,25,35,60,0.833333,3,3,192,0,1,DY+2,L,Yes,0.153846,26,1
WHL,10880/erik-christensen,F,2004,20.744444,63,27,35,62,0.9841270000000001,5,5,338,0,1,DY+2,L,Yes,0.42118900000000004,387,1
WHL,10899/lawrence-nycholat,D,2000,21.355556,70,22,58,80,1.142857,4,4,280,0,1,DY+3,L,No,0.0,0,0
WHL,10907/tyler-beechey,F,2002,21.277778,70,44,55,99,1.4142860000000002,4,4,255,0,1,DY+3,L,No,0.0,0,0
WHL,10982/glenn-olson,F,2004,20.372222,41,2,1,3,0.07,1,1,41,1,0,DY+2,L,No,0.0,0,0
WHL,10983/aaron-rome,D,2004,20.966667,69,10,42,52,0.7536229999999999,5,5,303,0,1,DY+2,L,Yes,0.123894,226,1
WHL,10988/jeremy-reich,F,2000,21.594444,72,33,58,91,1.263889,5,5,331,0,1,DY+3,L,Yes,0.06060599999999999,99,1
WHL,10991/carsen-germyn,F,2003,21.563889,63,26,33,59,0.936508,5,5,324,0,1,DY+3,R,No,0.0,0,0
WHL,10992/david-koci,D,2001,20.341667,70,2,7,9,0.13,1,1,70,1,0,DY+2,L,Yes,0.028169,142,1
WHL,110023/kane-ludwar,D,2002,20.8,61,8,16,24,0.393443,4,3,125,0,1,DY+2,R,No,0.0,0,0
WHL,110030/kyle-klym,F,2007,18.952778,46,2,0,2,0.04,1,1,46,1,0,DY,L,No,0.0,0,0
WHL,11015/duncan-milroy,F,2003,20.602778,61,34,44,78,1.278689,4,4,261,0,1,DY+2,R,Yes,0.2,5,1
WHL,11024/brandon-dubinsky,F,2006,20.377778,51,21,46,67,1.313725,4,4,234,0,1,DY+2,L,Yes,0.532199,823,1
WHL,11027/rick-rypien,F,2005,21.330556,63,22,29,51,0.809524,3,3,178,0,1,DY+3,R,No,0.0,0,0
WHL,11028/nathan-smith,F,2002,20.6,47,22,38,60,1.2765959999999998,4,4,231,0,1,DY+2,L,Yes,0.0,26,1
WHL,11029/jesse-schultz,F,2003,20.963889,72,53,51,104,1.444444,4,4,272,0,1,DY+2,R,No,0.0,0,0
WHL,11030/brad-moran,F,2000,21.486110999999998,72,48,72,120,1.666667,5,5,357,0,1,DY+3,L,Yes,0.375,8,1
WHL,11034/wade-skolney,D,2002,21.225,50,4,12,16,0.32,5,4,172,0,1,DY+3,L,No,0.0,0,0
WHL,11041/blair-jones,F,2006,19.966667,72,35,50,85,1.180556,4,4,249,0,1,DY+1,R,Yes,0.128788,132,1
WHL,11050/ryan-white,F,2008,20.494444,68,28,44,72,1.058824,4,4,275,0,1,DY+2,R,Yes,0.194888,313,1
WHL,11051/aki-kangasmaki,F,2007,18.308332999999998,60,4,4,8,0.13,1,1,60,1,0,DY,L,No,0.0,0,0
WHL,11052/mark-santorelli,F,2008,20.108333,72,27,74,101,1.402778,2,2,144,0,0,DY+2,R,Yes,0.0,0,0
WHL,11053/zach-hamill,F,2008,19.977778,67,26,49,75,1.1194030000000001,5,4,250,0,1,DY+1,R,Yes,0.2,20,1
WHL,11054/kyle-beach,F,2010,20.672222,68,52,34,86,1.2647059999999999,5,4,251,0,1,DY+2,R,Yes,0.0,0,0
WHL,11055/steve-dasilva,F,2008,21.597222,68,40,50,90,1.3235290000000002,4,4,271,0,1,DY+3,R,No,0.0,0,0
