,LEAGUE,PLAYER_ID,POSITION,SEASON,AGE_SEPT_15,GP,G,A,TP,PPG,SEASON_NO,SEASON_>20GP,CUM_GP,ONLY_1_SEASON,MIN_3_SEASONS,DY_STATUS,SHOOTS,DRAFTED,NHL_PPG,NHL_GP,NHL_DV
14923,USHL,234312/tanner-laczynski,F,2016,19.288889,52,24,39,63,1.211538,2,2,109,0,0,DY+1,R,Yes,0.0,0,0
14924,USHL,234316/joe-rutkowski,D,2016,19.561111,58,7,26,33,0.568966,1,1,58,1,0,DY+1,L,No,0.0,0,0
14925,USHL,234318/ryan-wagner,F,2014,18.416667,28,5,4,9,0.321429,1,1,28,1,0,DY,L,No,0.0,0,0
14927,USHL,234320/daniel-warpecha,F,2016,19.258333,57,11,8,19,0.333333,2,2,102,0,0,DY+1,L,No,0.0,0,0
14930,USHL,234324/brady-ferner,D,2018,21.05,60,2,17,19,0.31666700000000003,3,3,146,0,1,DY+3,R,No,0.0,0,0
14932,USHL,234331/ryan-blankemeier,F,2016,19.983333,59,11,19,30,0.508475,2,2,118,0,0,DY+1,R,No,0.0,0,0
14936,USHL,234333/charlie-raith,D,2018,21.375,49,3,18,21,0.428571,4,4,169,0,1,DY+3,L,No,0.0,0,0
14940,QMJHL,234343/adam-marsh,F,2018,21.063889,19,6,9,15,0.789474,4,0,168,0,1,DY+3,L,Yes,0.0,0,0
14944,USHL,234347/grant-gabriele,D,2017,20.411111,34,4,16,20,0.5882350000000001,4,4,144,0,1,DY+2,R,No,0.0,0,0
14948,USHL,234348/jake-gingell,D,2018,21.594444,50,3,6,9,0.18,4,4,212,0,1,DY+3,L,No,0.0,0,0
14952,USHL,234349/brody-stevens,F,2017,20.386111,56,12,16,28,0.5,4,4,172,0,1,DY+2,R,No,0.0,0,0
14955,USHL,234350/colin-theisen,F,2017,20.391667,57,35,27,62,1.087719,3,2,101,0,0,DY+2,L,No,0.0,0,0
14956,OHL,234352/tyler-sensky,D,2015,18.55,54,0,6,6,0.11,1,1,54,1,0,DY,L,No,0.0,0,0
14959,USHL,234353/chaz-switzer,D,2016,19.183332999999998,48,2,4,6,0.125,3,3,121,0,1,DY+1,L,No,0.0,0,0
14960,USHL,234357/isaac-theisen,F,2014,18.422222,3,0,1,1,0.333333,1,0,3,1,0,DY,R,No,0.0,0,0
14961,USHL,234362/michael-houle,F,2015,19.230556,31,3,2,5,0.16129000000000002,1,1,31,1,0,DY+1,L,No,0.0,0,0
14966,OHL,234367/doug-blaisdell,D,2018,21.569444,66,1,14,15,0.227273,5,4,257,0,1,DY+3,L,No,0.0,0,0
14967,USHL,234369/garrett-hallford,F,2015,18.133333,18,0,3,3,0.166667,1,0,18,1,0,DY,R,No,0.0,0,0
14968,USHL,234374/logan-gestro,D,2016,20.6,49,1,5,6,0.122449,1,1,49,1,0,DY+2,L,No,0.0,0,0
14971,USHL,234379/evan-bell,D,2018,21.222222,35,8,15,23,0.657143,3,3,152,0,1,DY+3,L,No,0.0,0,0
14974,USHL,234387/david-keefer,F,2017,19.9,59,19,27,46,0.7796609999999999,3,3,176,0,1,DY+1,R,No,0.0,0,0
14975,USHL,234389/matt-hudie,F,2017,21.575,51,10,13,23,0.45098,1,1,51,1,0,DY+3,R,No,0.0,0,0
