LEAGUE,PLAYER_ID,POSITION,SEASON,AGE_SEPT_15,GP,G,A,TP,PPG,SEASON_NO,SEASON_>20GP,CUM_GP,ONLY_1_SEASON,MIN_3_SEASONS,DY_STATUS,SHOOTS,DRAFTED,NHL_PPG,NHL_GP,NHL_DV
QMJHL,290152/alec-rheaume,D,2019,18.447222,36,0,1,1,0.03,1,1,36,1,0,DY,L,No,0.0,0,0
QMJHL,290157/elliot-desnoyers,F,2019,17.65,61,12,19,31,0.508197,1,1,61,1,0,DY-1,L,No,0.0,0,0
QMJHL,290158/emile-hegarty-aubin,F,2019,18.672222,34,2,5,7,0.21,1,1,34,1,0,DY,L,No,0.0,0,0
QMJHL,290162/jacob-gaucher,F,2019,18.516667,68,12,12,24,0.352941,1,1,68,1,0,DY,R,No,0.0,0,0
QMJHL,290166/simon-lavigne,D,2019,18.302778,41,2,7,9,0.22,1,1,41,1,0,DY,L,No,0.0,0,0
QMJHL,290169/julien-anctil,F,2019,18.444444,62,4,7,11,0.177419,1,1,62,1,0,DY,R,No,0.0,0,0
QMJHL,290171/samuel-poulin,F,2019,18.555556,67,29,47,76,1.134328,2,2,122,0,0,DY,L,No,0.0,0,0
QMJHL,290172/christophe-farmer,F,2019,18.611110999999998,41,6,7,13,0.317073,1,1,41,1,0,DY,L,No,0.0,0,0
QMJHL,290173/brooklyn-kalmikov,F,2019,18.4,61,19,10,29,0.47541000000000005,2,2,119,0,0,DY,L,No,0.0,0,0
QMJHL,290174/felix-gascon,D,2019,18.652778,1,0,0,0,0.0,1,0,1,1,0,DY,L,No,0.0,0,0
QMJHL,290176/vincent-anctil,F,2019,18.444444,31,1,3,4,0.13,1,1,31,1,0,DY,L,No,0.0,0,0
QMJHL,290177/alexandre-joncas,D,2019,18.480556,49,1,11,12,0.244898,2,2,117,0,0,DY,R,No,0.0,0,0
QMJHL,290462/marcel-barinka,F,2019,18.477778,51,7,11,18,0.352941,1,1,51,1,0,DY,R,No,0.0,0,0
QMJHL,291301/theo-rochette,F,2019,17.569444,59,14,29,43,0.7288140000000001,1,1,59,1,0,DY-1,L,No,0.0,0,0
QMJHL,291308/maxim-cajkovic,F,2019,18.7,60,22,24,46,0.766667,1,1,60,1,0,DY,R,No,0.0,0,0
QMJHL,294410/ilya-putintsev,F,2017,19.686111,8,0,3,3,0.38,2,0,76,0,0,DY+1,R,No,0.0,0,0
QMJHL,294506/david-vaysberg,F,2018,17.75,8,0,1,1,0.13,1,0,8,1,0,DY-1,L,No,0.0,0,0
QMJHL,29453/brett-beauchamp,D,2006,20.608333,16,2,4,6,0.38,2,0,64,0,0,DY+2,R,No,0.0,0,0
QMJHL,294583/william-dufour,F,2019,17.630556,55,9,12,21,0.381818,1,1,55,1,0,DY-1,R,No,0.0,0,0
